ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,Label
8.23,-0.02,5.77,-0.08,0.04,0.03,2.95,-9.39,-2.70,0.31,-0.16,-0.03,benar
7.22,-0.30,6.65,-0.06,0.09,-0.00,1.96,-8.88,-3.90,0.04,-0.17,0.00,benar
9.06,-0.37,4.79,-0.13,0.04,-0.01,3.68,-8.94,2.92,0.16,-0.02,0.06,benar
9.21,0.18,4.37,-0.10,0.07,-0.04,3.50,-8.66,4.18,0.06,-0.11,0.03,benar
8.39,0.10,5.23,-0.24,0.01,-0.01,1.82,-9.82,-1.76,0.03,0.00,0.05,benar
5.31,-0.14,8.20,-0.14,0.01,-0.00,5.79,-7.88,-1.94,0.06,-0.03,0.03,benar
8.08,-0.20,5.88,-0.12,0.07,0.01,3.15,-8.69,-3.15,0.05,0.05,0.01,benar
8.29,-0.17,5.93,-0.18,0.04,0.01,3.14,-9.46,-2.45,0.44,-0.23,-0.14,benar
8.15,-0.22,5.84,-0.11,0.06,0.01,2.53,-9.07,-3.42,0.06,-0.06,-0.00,benar
5.96,0.53,8.31,-0.04,0.03,0.00,5.48,-8.63,-1.57,0.13,-0.13,0.21,benar
5.34,-0.18,8.17,-0.10,-0.03,-0.04,3.49,-9.45,-0.70,0.01,-0.05,0.11,benar
5.64,-0.16,8.21,-0.02,-0.09,-0.09,5.77,-7.97,-1.78,0.03,-0.09,0.06,benar
4.52,-0.42,8.90,-0.10,0.04,-0.01,5.56,-8.30,-1.66,0.07,-0.07,0.03,benar
4.80,-0.62,8.45,-0.09,0.04,0.00,4.99,-8.79,-1.00,-0.03,-0.11,-0.02,benar
10.30,-0.74,-0.60,-0.15,-0.02,-0.05,9.92,0.74,-0.76,-0.20,-0.00,-0.03,benar
4.37,-0.80,8.60,-0.10,0.01,-0.00,5.99,-8.45,-1.35,0.07,-0.01,0.03,benar
8.95,0.44,3.81,-0.04,0.14,0.00,1.75,-8.86,2.17,0.25,-0.06,-0.07,benar
3.40,0.76,9.27,-0.38,-0.29,0.10,5.09,-9.52,-0.87,0.60,0.08,-0.50,benar
8.27,-0.41,5.84,-0.12,0.05,0.01,2.29,-8.88,-3.41,0.06,-0.05,0.03,benar
7.18,-0.91,7.16,-0.08,0.04,0.01,3.41,-8.79,-3.59,0.04,-0.00,0.01,benar
6.41,-0.79,7.68,-0.10,-0.01,-0.02,4.25,-8.64,-2.99,-0.15,-0.08,0.06,benar
6.20,-0.71,7.45,-0.12,0.07,0.01,4.50,-8.76,-3.15,-0.00,-0.02,-0.01,benar
4.84,0.17,8.63,-0.08,0.09,-0.01,4.01,-9.21,-1.00,0.07,-0.09,-0.05,benar
9.17,-0.40,4.94,-0.12,0.05,-0.05,4.45,-9.11,3.42,-0.03,-0.01,0.11,benar
6.40,-0.23,8.02,-0.09,0.08,0.01,4.64,-8.54,-3.43,-0.03,-0.08,0.02,benar
4.78,0.01,8.59,-0.02,0.18,0.01,3.94,-9.47,-0.64,-0.06,-0.09,-0.00,benar
5.23,0.05,8.37,-0.05,0.08,-0.03,3.69,-9.37,-0.61,-0.01,-0.09,-0.01,benar
9.15,-0.27,4.12,-0.11,0.03,0.02,3.85,-8.37,2.91,0.14,0.01,0.08,benar
8.74,-0.27,4.22,-0.19,0.03,0.02,4.27,-9.01,2.24,0.01,0.01,-0.01,benar
6.14,-0.11,7.10,-0.02,0.15,-0.01,3.46,-7.77,-4.37,0.40,-0.29,0.21,benar
8.84,-0.23,4.66,-0.08,0.06,-0.02,3.73,-8.72,2.94,0.03,-0.10,0.04,benar
3.96,0.19,9.05,-0.07,0.04,-0.00,4.55,-8.95,-0.83,-0.03,-0.11,0.02,benar
8.06,-0.55,6.26,-0.09,0.01,0.01,3.03,-8.84,-2.93,0.12,-0.09,0.12,benar
6.70,-0.21,7.36,-0.06,0.12,0.02,3.01,-9.46,-2.11,-0.18,-0.16,-0.03,benar
8.85,-0.37,4.51,-0.11,0.10,-0.00,3.77,-8.69,2.79,-0.03,-0.03,-0.03,benar
7.43,0.45,5.21,-0.41,-0.21,0.03,2.42,-5.64,-4.55,1.45,-0.07,0.12,benar
4.68,0.28,8.37,0.01,0.17,0.08,5.19,-8.35,-0.78,0.33,-0.17,-0.07,benar
8.80,-0.27,4.36,-0.12,-0.03,-0.02,3.51,-8.82,2.81,0.01,0.02,0.05,benar
8.85,-0.37,4.34,-0.09,0.02,0.02,4.53,-8.73,2.52,0.05,-0.05,-0.02,benar
5.55,0.55,8.04,-0.08,0.06,-0.01,5.29,-8.19,-1.57,-0.02,-0.15,-0.03,benar
6.77,-1.07,5.79,-0.14,0.15,-0.03,3.88,-8.45,-3.41,0.02,-0.09,-0.01,benar
9.29,-0.18,4.39,-0.04,-0.01,0.00,2.41,-9.50,2.67,-0.18,-0.06,0.06,benar
4.88,-0.14,8.70,-0.02,-0.06,0.05,4.16,-8.82,-0.66,0.22,0.01,0.06,benar
8.22,-0.42,5.60,-0.04,0.07,-0.00,2.44,-8.83,-3.12,0.11,-0.08,0.04,benar
10.02,-0.60,-0.75,-0.13,0.05,-0.00,9.72,-0.29,-0.72,0.14,-0.08,0.04,benar
7.91,-0.04,6.07,-0.09,0.01,-0.02,2.73,-9.00,-2.52,-0.19,0.03,0.08,benar
10.29,-0.62,-0.75,-0.07,0.03,-0.02,9.87,-0.71,-0.57,0.11,-0.03,-0.00,benar
5.62,0.32,8.03,-0.06,0.08,0.03,4.97,-8.77,-1.17,0.01,-0.00,-0.03,benar
5.39,0.27,8.11,-0.11,0.04,0.01,5.18,-8.14,-1.52,0.05,-0.08,0.02,benar
5.27,0.15,8.79,-0.05,-0.01,-0.03,5.65,-8.20,-1.68,-0.01,-0.05,0.08,benar
8.14,0.05,6.10,-0.09,0.04,-0.00,3.26,-9.33,-2.53,-0.05,-0.10,0.01,benar
4.35,-0.80,8.96,-0.08,0.05,0.00,5.67,-8.03,-1.56,0.16,-0.04,0.01,benar
9.43,0.15,3.62,-0.07,0.04,0.00,2.16,-8.59,2.99,0.02,-0.04,0.02,benar
5.74,0.45,8.31,-0.09,0.01,-0.02,4.92,-8.45,-1.13,0.15,-0.06,0.06,benar
4.48,0.19,9.23,-0.06,-0.10,0.03,4.40,-8.96,-0.80,0.20,-0.03,0.09,benar
8.90,-0.48,4.66,-0.06,0.02,-0.01,4.12,-8.23,2.56,0.11,-0.14,0.05,benar
5.03,-0.69,8.49,-0.08,0.02,-0.02,4.84,-8.31,-0.97,0.14,-0.10,0.04,benar
8.06,-0.10,5.70,-0.07,0.13,0.02,2.94,-9.01,-3.11,-0.22,-0.11,-0.01,benar
7.70,0.00,6.41,-0.06,0.01,-0.04,2.95,-9.21,-3.78,0.07,-0.03,0.12,benar
8.60,-0.05,5.80,-0.18,0.00,-0.04,1.71,-9.59,-2.40,0.12,-0.02,0.05,benar
7.65,-0.22,6.16,-0.06,0.13,0.03,3.02,-8.93,-2.54,-0.10,-0.17,-0.06,benar
10.58,-0.69,-0.72,-0.08,0.09,0.02,9.89,-0.16,-0.53,-0.04,-0.05,0.01,benar
4.69,0.27,8.77,-0.12,-0.03,0.05,3.85,-9.12,-0.94,0.05,-0.14,0.04,benar
9.37,0.49,4.13,-0.21,0.41,0.02,3.18,-8.83,3.39,-0.17,-0.09,-0.04,benar
7.16,-0.26,7.22,-0.07,0.02,-0.03,2.79,-9.52,-1.75,0.20,-0.08,0.01,benar
4.55,-0.65,8.66,-0.09,0.06,-0.00,5.95,-7.79,-1.42,0.01,-0.12,-0.04,benar
8.88,-0.11,4.15,-0.14,0.07,-0.00,2.57,-9.35,3.05,0.04,-0.11,0.00,benar
7.99,0.06,5.74,-0.04,0.19,-0.02,2.72,-9.57,-2.94,-0.35,-0.09,-0.07,benar
4.88,0.38,8.07,-0.14,0.09,0.02,4.14,-9.33,-0.24,-0.10,-0.03,0.01,benar
5.73,0.49,7.77,-0.06,-0.04,-0.03,4.75,-8.39,-1.09,0.05,-0.08,0.07,benar
5.62,0.40,7.93,-0.10,0.06,-0.01,5.55,-7.79,-2.21,-0.00,-0.05,0.01,benar
5.29,0.42,8.32,-0.09,0.06,0.00,5.47,-8.19,-1.57,0.03,-0.11,0.01,benar
4.70,-0.53,8.17,-0.11,0.08,-0.01,5.95,-7.80,-0.99,0.14,-0.08,0.01,benar
6.41,0.32,7.53,-0.09,0.03,-0.07,5.54,-8.01,-1.66,-0.13,-0.02,-0.02,benar
4.97,-0.87,8.41,-0.10,-0.04,-0.01,5.64,-8.24,-0.87,0.20,-0.08,0.04,benar
5.92,0.59,7.81,-0.08,0.07,-0.05,5.49,-8.07,-1.84,0.07,0.05,-0.00,benar
8.14,0.40,5.69,-0.03,0.06,-0.00,2.66,-9.14,-3.67,-0.10,-0.06,-0.01,benar
8.29,-0.37,6.43,-0.11,0.12,-0.02,2.81,-9.66,-2.71,-0.11,-0.11,0.05,benar
4.79,-0.22,8.77,-0.15,-0.01,-0.08,5.46,-7.64,-1.56,0.06,-0.10,0.07,benar
9.21,0.30,4.63,-0.10,0.02,-0.02,4.14,-8.24,2.61,0.00,-0.10,0.03,benar
8.12,0.12,5.65,-0.09,0.12,0.02,3.50,-9.28,-3.08,-0.02,-0.07,0.03,benar
9.08,-0.29,4.13,-0.10,0.04,-0.02,2.39,-9.39,2.98,0.06,-0.02,0.02,benar
7.93,-0.03,6.13,-0.10,0.03,0.02,1.82,-9.65,-2.02,0.09,-0.08,-0.00,benar
5.91,0.74,7.74,-0.07,0.11,0.01,5.28,-8.67,-1.92,0.07,-0.04,0.03,benar
9.00,-0.25,4.91,-0.01,0.08,0.01,2.83,-8.49,2.07,-0.01,-0.23,-0.02,benar
4.39,0.65,8.42,-0.09,0.08,0.03,4.15,-8.66,-1.40,-0.02,-0.11,0.00,benar
8.36,-0.10,5.65,-0.10,0.05,0.01,3.21,-9.45,-2.64,-0.01,-0.13,0.01,benar
9.06,-0.45,4.50,-0.24,0.11,-0.04,3.83,-8.77,3.21,-0.08,0.05,-0.05,benar
7.71,-0.28,6.19,-0.08,0.04,-0.01,2.15,-9.03,-4.23,-0.21,-0.09,0.01,benar
4.97,0.38,8.46,-0.08,0.10,0.02,4.31,-9.03,-1.09,0.16,-0.10,-0.06,benar
9.16,-0.45,4.47,-0.10,0.02,0.01,4.52,-8.02,2.76,0.11,-0.09,0.05,benar
8.01,0.07,5.92,-0.09,0.04,0.01,2.11,-10.06,-1.64,-0.09,-0.10,-0.01,benar
4.85,-0.89,8.72,-0.09,-0.01,0.00,5.65,-8.18,-1.24,0.15,0.01,0.00,benar
5.49,-0.30,8.09,-0.12,0.04,-0.01,4.43,-8.97,-1.38,-0.02,-0.08,-0.04,benar
4.87,0.17,8.52,-0.10,0.17,0.01,3.90,-9.50,-1.02,-0.09,-0.13,0.00,benar
9.01,-0.48,4.70,-0.11,0.06,-0.00,3.65,-8.47,2.14,-0.12,-0.10,0.03,benar
5.53,0.79,8.20,-0.13,0.03,0.01,5.70,-8.13,-1.87,-0.03,-0.09,0.02,benar
8.91,-0.09,4.37,-0.07,0.03,0.01,3.58,-8.38,3.06,0.13,-0.18,0.02,benar
7.07,-0.63,6.88,-0.10,0.06,-0.01,3.27,-9.27,-3.23,0.03,0.01,-0.06,benar
8.06,-0.37,6.03,-0.06,0.02,-0.02,2.00,-9.12,-2.48,0.07,-0.03,0.06,benar
8.85,-0.43,4.37,-0.08,0.03,-0.01,3.18,-8.78,2.95,0.11,-0.07,-0.04,benar
6.41,-0.57,7.51,-0.09,-0.01,0.00,4.10,-8.39,-2.90,0.10,-0.13,0.03,benar
8.03,-0.30,6.06,-0.19,0.04,0.02,2.92,-10.34,-1.48,-0.22,-0.01,0.07,benar
7.22,-0.95,6.91,-0.11,0.03,-0.02,3.40,-9.09,-2.93,-0.05,-0.03,0.00,benar
8.22,-0.04,5.00,-0.14,0.10,-0.05,3.15,-9.47,-2.49,0.21,-0.02,0.02,benar
7.52,-0.33,6.62,-0.05,0.02,-0.02,2.48,-9.42,-2.41,0.13,-0.02,0.03,benar
5.50,0.38,8.03,-0.09,0.06,0.01,5.07,-8.46,-1.21,0.06,-0.08,-0.05,benar
5.36,0.61,7.97,-0.05,-0.00,-0.05,5.20,-8.44,-1.50,0.03,-0.15,0.09,benar
5.08,-0.24,8.53,-0.10,0.04,-0.01,5.72,-8.92,-1.08,-0.24,-0.13,0.10,benar
7.13,-0.70,7.27,-0.13,0.08,0.00,3.95,-8.44,-3.62,0.13,-0.15,0.12,benar
4.80,0.30,8.23,-0.10,0.17,0.00,3.73,-9.54,-0.42,-0.08,-0.06,-0.08,benar
8.82,-0.37,5.45,-0.06,0.08,0.01,2.29,-9.32,-3.10,-0.01,-0.06,0.07,benar
8.04,-0.37,5.79,-0.08,0.07,0.02,3.50,-8.94,-2.90,0.02,-0.10,-0.03,benar
5.03,0.26,8.09,-0.12,0.07,0.01,3.56,-8.93,-0.86,0.11,-0.09,-0.06,benar
4.76,0.68,8.10,-0.05,0.09,-0.02,4.35,-9.28,-0.97,0.09,-0.02,0.01,benar
6.99,-0.73,7.07,-0.12,-0.01,-0.05,3.76,-8.80,-2.99,0.06,-0.11,0.00,benar
8.78,0.03,4.24,-0.08,-0.06,-0.07,1.97,-8.80,2.41,0.04,0.04,-0.03,benar
6.52,0.65,9.43,-0.16,-0.06,-0.02,6.56,-8.66,-1.89,-0.11,-0.16,-0.13,benar
5.43,0.33,8.17,-0.08,0.07,0.00,5.63,-8.15,-1.32,0.04,-0.06,-0.01,benar
5.39,0.39,8.29,-0.10,0.09,-0.02,4.89,-8.81,-1.33,-0.01,0.01,0.04,benar
7.94,-0.08,5.98,-0.12,0.03,0.02,3.34,-9.29,-2.18,-0.00,-0.10,0.01,benar
10.26,-0.48,-0.82,-0.11,-0.00,-0.05,10.18,0.69,-0.95,-0.08,-0.18,-0.01,benar
8.15,-0.30,5.30,-0.02,0.10,-0.05,0.92,-9.45,-1.73,0.19,0.06,0.05,benar
8.82,-0.37,4.41,-0.16,0.06,-0.05,3.03,-8.79,2.88,-0.00,-0.06,-0.03,benar
4.67,-0.82,8.43,-0.11,0.12,-0.00,5.92,-8.06,-0.95,-0.05,-0.00,0.01,benar
9.12,-0.02,4.25,-0.10,0.08,-0.00,2.36,-9.28,2.66,-0.02,-0.02,-0.01,benar
5.70,-0.32,8.10,-0.12,0.10,-0.01,4.23,-9.03,-1.19,-0.06,-0.08,0.02,benar
3.98,0.08,8.91,-0.09,0.07,-0.00,4.49,-9.06,-0.81,0.05,-0.08,-0.03,benar
9.27,0.30,3.44,-0.10,0.03,-0.02,1.89,-8.85,2.92,0.13,-0.12,0.02,benar
9.05,-0.01,4.54,-0.09,0.08,-0.01,2.26,-9.01,3.44,-0.06,-0.11,0.00,benar
3.82,0.91,9.86,-0.01,0.09,-0.03,3.29,-9.01,-1.12,0.01,-0.04,0.03,benar
7.98,-0.32,5.76,-0.03,0.18,-0.00,2.81,-11.29,-3.33,0.55,-0.49,-0.13,benar
8.17,-0.07,5.79,-0.06,0.03,0.00,3.36,-8.98,-2.41,0.37,-0.42,-0.07,benar
9.33,-0.11,4.15,-0.09,0.06,0.00,3.72,-8.89,2.62,-0.05,0.00,0.11,benar
8.71,-0.02,4.59,-0.07,-0.05,0.01,3.52,-8.57,2.73,-0.18,-0.17,0.06,benar
7.98,-0.25,5.57,-0.15,0.08,0.01,3.02,-9.45,-2.30,0.24,-0.18,0.01,benar
7.68,-0.34,5.89,-0.05,0.02,0.02,2.89,-9.01,-2.86,0.11,-0.11,0.02,benar
9.14,-0.46,4.57,-0.11,0.11,-0.01,3.55,-8.83,3.28,-0.02,0.01,0.04,benar
4.81,-0.25,8.45,-0.14,0.06,-0.00,5.53,-8.90,-0.70,-0.05,-0.03,0.02,benar
9.22,0.11,4.25,-0.01,0.03,0.03,3.19,-8.61,3.28,-0.20,-0.23,0.08,benar
8.24,-0.01,5.45,-0.19,0.05,0.00,2.97,-9.35,-2.34,0.08,-0.10,-0.03,benar
8.16,0.05,5.75,-0.06,0.05,0.02,2.97,-9.20,-2.65,0.13,-0.10,0.00,benar
9.19,-0.10,4.38,-0.08,-0.01,-0.01,2.66,-8.97,3.12,0.13,-0.08,0.03,benar
8.19,-0.68,5.32,-0.09,0.04,0.00,4.13,-8.55,2.95,-0.02,-0.05,0.01,benar
9.22,-0.73,5.37,-0.13,-0.01,-0.09,3.55,-8.82,2.77,-0.16,-0.02,0.14,benar
4.40,-0.59,8.78,-0.09,-0.01,-0.02,5.87,-8.31,-1.60,0.19,-0.05,0.05,benar
8.72,-0.14,4.86,-0.08,0.05,-0.01,3.64,-8.90,3.11,-0.01,-0.10,0.03,benar
8.88,-0.30,4.54,-0.05,-0.03,-0.01,3.26,-8.92,3.30,0.01,-0.16,0.09,benar
4.65,-0.45,8.56,-0.16,0.02,-0.08,5.64,-7.71,-1.38,-0.06,0.03,0.06,benar
7.60,0.08,5.96,-0.11,0.03,-0.00,1.84,-9.61,-1.85,-0.01,-0.09,0.02,benar
8.30,-0.66,5.59,-0.07,0.01,-0.04,2.61,-9.32,-2.59,-0.08,-0.09,-0.09,benar
5.52,0.38,7.94,-0.11,0.07,0.01,5.29,-8.16,-1.37,0.02,-0.09,-0.10,benar
6.36,-0.18,7.40,-0.09,0.07,0.01,3.35,-9.15,-1.64,0.09,-0.09,-0.07,benar
4.90,-0.63,8.41,-0.12,-0.03,0.01,4.88,-8.66,-1.18,0.04,-0.10,0.04,benar
9.76,0.13,3.55,-0.08,0.00,-0.01,2.10,-9.56,3.27,-0.02,0.01,0.07,benar
9.72,0.35,3.97,-0.04,0.19,-0.02,2.26,-9.12,2.57,0.13,-0.23,-0.03,benar
8.19,-0.36,5.92,-0.09,0.05,0.01,2.55,-9.07,-2.90,0.08,-0.04,-0.03,benar
8.74,-0.38,3.98,-0.17,0.05,-0.02,3.06,-8.46,3.54,0.06,0.17,-0.02,benar
6.83,-0.17,7.02,-0.14,0.02,-0.01,3.17,-9.56,-1.32,0.00,-0.06,0.03,benar
3.95,0.07,9.00,-0.04,0.05,-0.01,4.44,-8.95,-0.64,0.04,-0.10,0.04,benar
8.70,0.45,5.54,-0.08,0.00,0.03,1.75,-9.67,-1.40,-0.01,-0.13,0.02,benar
7.16,-0.54,7.19,-0.09,0.08,-0.02,3.13,-9.22,-1.46,0.15,0.03,0.04,benar
8.28,-0.10,5.46,-0.16,0.03,-0.02,2.72,-9.25,-2.89,0.36,-0.21,-0.09,benar
7.93,0.06,6.23,-0.04,0.03,-0.01,2.87,-9.00,-3.31,-0.11,-0.17,0.06,benar
6.35,-0.68,7.47,-0.12,0.06,-0.02,4.45,-8.82,-3.40,0.05,-0.06,-0.01,benar
8.03,-0.26,5.78,-0.05,-0.00,-0.02,3.05,-8.93,-2.36,0.06,-0.14,0.01,benar
9.24,0.01,4.33,-0.11,0.19,0.01,3.96,-8.78,3.28,0.06,-0.07,-0.04,benar
5.68,-0.44,8.01,-0.10,0.06,-0.01,4.58,-8.50,-1.37,-0.15,-0.07,0.01,benar
5.54,0.13,8.11,-0.17,0.09,-0.01,5.92,-7.75,-1.67,-0.10,-0.07,0.00,benar
8.27,-0.15,5.48,-0.13,0.10,-0.01,3.05,-10.22,-2.36,-0.16,-0.05,-0.00,benar
7.57,-0.33,6.31,-0.03,0.08,-0.04,2.25,-9.19,-3.54,-0.02,-0.13,0.05,benar
4.21,0.26,8.59,-0.07,0.07,0.04,4.32,-9.02,-0.55,0.01,-0.08,-0.04,benar
8.76,-0.21,4.51,-0.08,0.05,0.00,3.74,-8.63,2.45,0.06,-0.04,0.04,benar
9.64,-0.15,4.24,-0.20,0.32,-0.04,3.92,-8.59,2.80,-0.03,-0.03,-0.09,benar
9.99,-0.46,-0.81,-0.06,0.03,-0.02,9.78,-0.16,-0.57,0.08,-0.07,0.03,benar
7.98,-0.09,5.78,-0.09,0.02,-0.02,1.82,-9.46,-2.23,0.02,-0.08,0.05,benar
8.06,0.36,5.78,-0.09,0.07,0.05,3.17,-9.45,-2.15,-0.04,-0.15,-0.06,benar
5.28,-0.11,8.20,-0.08,0.06,-0.01,6.21,-7.72,-1.97,0.09,-0.10,0.00,benar
9.32,0.23,3.72,-0.10,0.01,-0.00,2.59,-9.12,2.38,0.05,-0.11,0.05,benar
8.61,-0.69,4.63,-0.10,0.12,0.03,3.73,-8.22,2.90,0.07,0.01,-0.02,benar
5.45,-0.18,7.93,-0.09,0.07,0.00,4.47,-8.81,-0.98,0.15,-0.07,-0.01,benar
8.26,-0.29,5.64,-0.10,0.06,0.01,3.42,-8.97,-2.61,-0.23,-0.07,-0.03,benar
5.10,-0.69,8.38,-0.09,0.06,-0.02,5.30,-8.95,-0.98,0.07,-0.07,0.02,benar
8.27,-0.08,5.62,0.00,0.13,-0.00,2.81,-11.29,-3.33,0.55,-0.49,-0.13,benar
8.21,-0.34,5.53,-0.15,0.10,-0.02,3.21,-8.99,-2.94,-0.06,-0.00,-0.07,benar
5.21,0.96,8.96,-0.01,0.02,-0.04,4.01,-8.64,-1.12,0.04,-0.04,0.08,benar
8.36,-0.20,5.77,-0.02,0.08,0.02,1.38,-9.47,-2.24,-0.02,-0.01,0.04,benar
6.94,-0.81,7.01,-0.07,-0.00,0.01,3.39,-8.82,-2.98,0.02,-0.05,0.03,benar
4.72,-0.48,8.58,-0.19,0.03,-0.09,5.72,-7.85,-0.88,0.07,-0.03,0.05,benar
6.82,-1.11,7.10,-0.05,0.13,-0.01,4.62,-8.38,-3.66,-0.02,0.04,0.02,benar
4.82,0.12,9.13,-0.08,-0.07,-0.14,4.85,-7.12,-0.77,0.11,-0.66,-0.13,benar
8.08,-0.33,5.70,-0.08,0.09,0.03,2.84,-9.66,-2.55,-0.06,-0.05,0.03,benar
5.57,0.49,8.03,-0.09,0.07,0.03,4.91,-8.64,-0.95,-0.04,-0.11,0.01,benar
9.21,0.00,4.20,-0.06,0.04,-0.01,2.11,-8.78,2.88,0.06,-0.12,0.00,benar
8.03,-0.07,5.21,-0.18,0.07,0.00,2.53,-8.72,-2.98,0.08,0.12,0.02,benar
5.32,0.70,8.02,-0.10,0.05,-0.01,5.49,-8.12,-1.60,0.03,-0.07,-0.01,benar
9.44,0.00,4.52,-0.18,0.11,0.05,4.57,-9.02,3.17,0.08,-0.11,0.06,benar
5.57,-0.24,7.96,-0.09,0.11,-0.02,4.30,-9.45,-1.17,0.03,-0.10,0.01,benar
6.86,-0.69,6.75,-0.13,0.02,0.03,3.42,-8.72,-2.90,0.24,-0.10,-0.07,benar
6.31,-0.69,7.49,-0.07,0.01,-0.00,3.93,-8.18,-3.30,-0.10,-0.08,0.01,benar
6.76,-0.79,7.07,-0.05,0.03,0.02,3.49,-8.95,-2.79,-0.20,0.07,0.03,benar
4.81,-0.65,8.50,-0.11,0.00,0.00,4.91,-8.73,-0.76,0.06,-0.13,0.01,benar
7.91,0.15,5.83,-0.08,0.05,-0.03,2.52,-9.42,-4.06,0.03,-0.00,0.04,benar
8.99,-0.17,4.86,-0.08,0.05,0.03,3.64,-8.63,2.74,0.04,-0.02,0.05,benar
5.57,-0.76,7.63,-0.05,0.14,0.02,4.48,-8.54,-3.14,0.14,-0.05,-0.02,benar
7.00,-0.48,7.22,-0.07,0.06,-0.01,2.95,-9.33,-1.84,-0.05,-0.05,0.01,benar
